Class,TSI Status,Enrolled Post Secondary Fall,HB3 Verifier Status,Eco Dis,Non Eco Dis,Special Needs,Eco Dis Status,Military Service Confirmed,Earned Associate Degree
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,Verified,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Met,,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Met,,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Met,,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,1,Special Needs,,0
2024,Met,,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,Verified,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,Verified,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,,,0,1,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,1,Special Needs,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,0,1,1,Special Needs,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,0,1,0,Non Eco-Dis,,0
2025,Not Met,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,0,1,1,Special Needs,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,Met,,0,1,0,Non Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Met,Met,Verified,0,1,0,Non Eco-Dis,,0
2024,Approaches,Met,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,0,Eco-Dis,,0
2024,Approaches,,,1,0,0,Eco-Dis,,0
2024,Not Met,,,1,0,1,Special Needs,,0
2024,Not Met,Met,,1,0,0,Eco-Dis,,0
